Common_name,Ref,IUPAC_name,CAS_number,Formula,C,H,N,O,S,P,Canonical_smile,InchI,Molecular_weight MW (g/mol),pKa,Log P,Log S,Polar Surface Area,Polarizability,Hydrogen Acceptor Count,Hydrogen Donor Count,HOMO-1 (eV),HOMO (eV),LUMO (eV),Ionization Energy I (eV),Electron Affinity A (eV),Electronegativity (eV),Hardness  (eV),Electrophilicity (eV)  , ?N_Fe ,IE EXP (%)
Deserpidine,https://pubchem.ncbi.nlm.nih.gov/compound/8550,"methyl (1R,15S,17R,18R,19S,20S)-18-methoxy-17-(3,4,5-trimethoxybenzoyloxy)-3,13-diazapentacyclo[11.8.0.0²,¹⁰.0⁴,⁹.0¹⁵,²⁰]henicosa-2(10),4,6,8-tetraene-19-carboxylate
",0131-01-01,C32H38N2O8,32,38,2,8,0,0,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=CC=CC=C45)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,"InChI=1S/C32H38N2O8/c1-37-24-12-17(13-25(38-2)29(24)39-3)31(35)42-26-14-18-16-34-11-10-20-19-8-6-7-9-22(19)33-28(20)23(34)15-21(18)27(30(26)40-4)32(36)41-5/h6-9,12-13,18,21,23,26-27,30,33H,10-11,14-16H2,1-5H3/t18-,21+,23-,26-,27+,30+/m1/s1",578.7,6.68,3.3,-4.7,109,62.59,9,1,-5.191,-4.921,-2.424,4.921,2.424,3.6725,1.2485,0.918125,1.332599119,93.59325172
Desipramine,https://pubchem.ncbi.nlm.nih.gov/compound/2995,"3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N-methylpropan-1-amine

",50-47-5,C18H22N2,18,22,2,0,0,0,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,"InChI=1S/C18H22N2/c1-19-13-6-14-20-17-9-4-2-7-15(17)11-12-16-8-3-5-10-18(16)20/h2-5,7-10,19H,6,11-14H2,1H3",266.4,10.2,4.9,-3.66,15.27,31.74,2,1,-5.621,-5.032,-1.448,5.032,1.448,3.24,1.792,0.81,1.049107143,93.70209625
Dextrometorfane,https://pubchem.ncbi.nlm.nih.gov/compound/5360696,"(1S,9S,10S)-4-methoxy-17-methyl-17-azatetracyclo[7.5.3.0¹,¹⁰.0²,⁷]heptadeca-2(7),3,5-triene
",125-71-3,C18H25NO,18,25,1,1,0,0,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,"InChI=1S/C18H25NO/c1-19-10-9-18-8-4-3-5-15(18)17(19)11-13-6-7-14(20-2)12-16(13)18/h6-7,12,15,17H,3-5,8-11H2,1-2H3/t15-,17+,18+/m1/s1",271.4,8.3,3.6,-4.5,12.47,31.77,2,0,-5.809,-4.974,-1.342,4.974,1.342,3.158,1.816,0.7895,1.057819383,93.9401984
Dextromoramide,https://www.drugbank.ca/drugs/DB01529,"(3S)-3-methyl-4-(morpholin-4-yl)-2,2-diphenyl-1-(pyrrolidin-1-yl)butan-1-one",357-56-2,C25H32N2O2,25,32,2,2,0,0,CC(CN1CCOCC1)C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N4CCCC4,"InChI=1S/C25H32N2O2/c1-21(20-26-16-18-29-19-17-26)25(22-10-4-2-5-11-22,23-12-6-3-7-13-23)24(28)27-14-8-9-15-27/h2-7,10-13,21H,8-9,14-20H2,1H3/t21-/m1/s1",392.5,7,3.61,-4.4,32.78,44.36,3,0,-5.718,-4.943,-1.676,4.943,1.676,3.3095,1.6335,0.827375,1.12962963,95.07094918
Diethanolamine,https://pubchem.ncbi.nlm.nih.gov/compound/8113,2-(2-hydroxyethylamino)ethanol,111-42-2,C4H11NO2,4,11,1,2,0,0,C(CO)NCCO,"InChI=1S/C4H11NO2/c6-3-1-5-2-4-7/h5-7H,1-4H2

",105.14,8.9,-1.43,0.65,52.49,11.63,3,3,-6.398,-5.798,6.52,5.798,-6.52,-0.361,6.159,-0.09025,0.597580776,88.7
Diethylamine,https://pubchem.ncbi.nlm.nih.gov/compound/8021,N-ethylethanamine,109-89-7,C4H11N,4,11,1,0,0,0,CCNCC,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3",73.14,11,0.76,0.54,12.03,9.72,1,1,-7.584,-5.505,6.84,5.505,-6.84,-0.6675,6.1725,-0.166875,0.621101661,80.61
Diphenhydramine,https://pubchem.ncbi.nlm.nih.gov/compound/3100,"2-benzhydryloxy-N,N-dimethylethanamine

",58-73-1,C17H21NO,17,21,1,1,0,0,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,"InChI=1S/C17H21NO/c1-18(2)13-14-19-17(15-9-5-3-6-10-15)16-11-7-4-8-12-16/h3-12,17H,13-14H2,1-2H3",255.35,9,3.27,-3.5,12.47,29.86,2,0,-6.07,-5.274,-1.63,5.274,1.63,3.452,1.822,0.863,0.973655324,94.5278709
Diphenoxylate,https://pubchem.ncbi.nlm.nih.gov/compound/13505#section=Names-and-Identifiers,"ethyl1-(3-cyano-3,3-diphenylpropyl)-4-phenylpiperidine-4-carboxylate",915-30-0,C30H32N2O2,30,32,2,2,0,0,CCOC(=O)C1(CCN(CC1)CCC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,"InChI=1S/C30H32N2O2/c1-2-34-28(33)29(25-12-6-3-7-13-25)18-21-32(22-19-29)23-20-30(24-31,26-14-8-4-9-15-26)27-16-10-5-11-17-27/h3-17H,2,18-23H2,1H3",452.6,7.1,6.3,-5.5,53.33,51.58,3,0,-6.284,-5.114,-1.829,5.114,1.829,3.4715,1.6425,0.867875,1.07412481,92.92432024
Dihydrocodeine,https://pubchem.ncbi.nlm.nih.gov/compound/5284543,"(4R,4aR,7S,7aR,12bS)-9-methoxy-3-methyl-2,4,4a,5,6,7,7a,13-octahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-ol",125-28-0,C18H23NO3,18,23,1,3,0,0,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(CC4)O,"InChI=1S/C18H23NO3/c1-19-8-7-18-11-4-5-13(20)17(18)22-16-14(21-2)6-3-10(15(16)18)9-12(11)19/h3,6,11-13,17,20H,4-5,7-9H2,1-2H3/t11-,12+,13-,17-,18-/m0/s1",301.4,8.8,1.55,-2.437967,41.93,32.79,4,1,-5.197,-4.857,-1.198,4.857,1.198,3.0275,1.8295,0.756875,1.085679147,92.0072105
Dihydroergocornine,https://pubchem.ncbi.nlm.nih.gov/compound/168871,"(6aR,9R,10aR)-N-[(1S,2S,4R,7S)-2-hydroxy-5,8-dioxo-4,7-di(propan-2-yl)-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9,10,10a-hexahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide

",25447-65-8,C31H41N5O5,31,41,5,50,0,0,CC(C)C1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CC5C(CC6=CNC7=CC=CC5=C67)N(C4)C)O,"InChI=1S/C31H41N5O5/c1-16(2)26-28(38)35-11-7-10-24(35)31(40)36(26)29(39)30(41-31,17(3)4)33-27(37)19-12-21-20-8-6-9-22-25(20)18(14-32-22)13-23(21)34(5)15-19/h6,8-9,14,16-17,19,21,23-24,26,32,40H,7,10-13,15H2,1-5H3,(H,33,37)/t19-,21-,23-,24+,26+,30-,31+/m1/s1",563.7,6.91,2.33,-3.2,118.21,62,6,3,-5.341,-5.13,-1.555,5.13,1.555,3.3425,1.7875,0.835625,1.023076923,92.29915768
Dihydroergocryptine,https://pubchem.ncbi.nlm.nih.gov/compound/114948,"(6aR,9R,10aR)-N-[(1S,2S,4R,7S)-2-hydroxy-7-(2-methylpropyl)-5,8-dioxo-4-propan-2-yl-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9,10,10a-hexahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",25447-66-9,C32H43N5O5,32,43,5,5,0,0,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CC5C(CC6=CNC7=CC=CC5=C67)N(C4)C)O,"InChI=1S/C32H43N5O5/c1-17(2)12-25-29(39)36-11-7-10-26(36)32(41)37(25)30(40)31(42-32,18(3)4)34-28(38)20-13-22-21-8-6-9-23-27(21)19(15-33-23)14-24(22)35(5)16-20/h6,8-9,15,17-18,20,22,24-26,33,41H,7,10-14,16H2,1-5H3,(H,34,38)/t20-,22-,24-,25+,26+,31-,32+/m1/s1

",577.7,6.89,5.9,-3.3,118.21,64.05,6,3,-5.458,-5.057,-1.748,5.057,1.748,3.4025,1.6545,0.850625,1.087186461,92.55385558
Dihydroergocristine,https://pubchem.ncbi.nlm.nih.gov/compound/107715,"(6aR,9R,10aR)-N-[(1S,2S,4R,7S)-7-benzyl-2-hydroxy-5,8-dioxo-4-propan-2-yl-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9,10,10a-hexahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide

",17479-19-5,C35H41N5O5,35,41,5,5,0,0,CC(C)C1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,"InChI=1S/C35H41N5O5/c1-20(2)34(37-31(41)23-16-25-24-11-7-12-26-30(24)22(18-36-26)17-27(25)38(3)19-23)33(43)40-28(15-21-9-5-4-6-10-21)32(42)39-14-8-13-29(39)35(40,44)45-34/h4-7,9-12,18,20,23,25,27-29,36,44H,8,13-17,19H2,1-3H3,(H,37,41)/t23-,25-,27-,28+,29+,34-,35+/m1/s1

",611.7,6.89,5.86,-4.1,121.7,67.82,7,3,-5.449,-5.122,-1.631,5.122,1.631,3.3765,1.7455,0.844125,1.037954741,93.25473894
Dihydroergotamine ,https://pubchem.ncbi.nlm.nih.gov/compound/10531,"(6aR,9R,10aR)-N-[(1S,2S,4R,7S)-7-benzyl-2-hydroxy-4-methyl-5,8-dioxo-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9,10,10a-hexahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide

",0511-12-6,C33H37N5O5,33,37,5,5,0,0,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,"InChI=1S/C33H37N5O5/c1-32(35-29(39)21-15-23-22-10-6-11-24-28(22)20(17-34-24)16-25(23)36(2)18-21)31(41)38-26(14-19-8-4-3-5-9-19)30(40)37-13-7-12-27(37)33(38,42)43-32/h3-6,8-11,17,21,23,25-27,34,42H,7,12-16,18H2,1-2H3,(H,35,39)/t21-,23-,25-,26+,27+,32-,33+/m1/s1

",583.7,6.9,2.4,-3.4,118.21,63.3,6,3,-5.457,-5.394,-1.743,5.394,1.743,3.5685,1.8255,0.892125,0.939879485,92.05005784
dihydrostreptomycin,https://www.drugbank.ca/drugs/DB11512,"2-[(1R,2R,3S,4R,5R,6S)-3-(diaminomethylideneamino)-4-[(2R,3R,4R,5S)-3-[(2S,3S,4S,5R,6S)-4,5-dihydroxy-6-(hydroxymethyl)-3-(methylamino)oxan-2-yl]oxy-4-hydroxy-4-(hydroxymethyl)-5-methyloxolan-2-yl]oxy-2,5,6-trihydroxycyclohexyl]guanidine

",128-46-1,C21H41N7O12,21,41,7,12,0,0,CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(CO)O,"InChI=1S/C21H41N7O12/c1-5-21(36,4-30)16(40-17-9(26-2)13(34)10(31)6(3-29)38-17)18(37-5)39-15-8(28-20(24)25)11(32)7(27-19(22)23)12(33)14(15)35/h5-18,26,29-36H,3-4H2,1-2H3,(H4,22,23,27)(H4,24,25,28)/t5-,6-,7+,8-,9-,10-,11+,12-,13-,14+,15+,16-,17-,18-,21+/m0/s1

",583.6,8,-8.2,-1.6,334.59,56.06,15,13,-5.488,-5.337,0.181,5.337,-0.181,2.578,2.759,0.6445,0.801377311,88.5
Dinoprost,https://pubchem.ncbi.nlm.nih.gov/compound/5280363,"(Z)-7-[(1R,2R,3R,5S)-3,5-dihydroxy-2-[(E,3S)-3-hydroxyoct-1-enyl]cyclopentyl]hept-5-enoic acid

",0551-11-1,C20H34O5,20,34,0,5,0,0,CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O,"InChI=1S/C20H34O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h4,7,12-13,15-19,21-23H,2-3,5-6,8-11,14H2,1H3,(H,24,25)/b7-4-,13-12+/t15-,16+,17+,18-,19+/m0/s1

",354.5,4.9,2.7,-3.5,97.99,40.86,5,4,-6.396,-6.02,-1.077,6.02,1.077,3.5485,2.4715,0.887125,0.698260166,86.3713614
Dipyridamole,https://pubchem.ncbi.nlm.nih.gov/compound/3108,"2-[[2-[bis(2-hydroxyethyl)amino]-4,8-di(piperidin-1-yl)pyrimido[5,4-d]pyrimidin-6-yl]-(2-hydroxyethyl)amino]ethanol

",58-32-2,C24H40N8O4,24,40,8,4,0,0,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,"InChI=1S/C24H40N8O4/c33-15-11-31(12-16-34)23-26-20-19(21(27-23)29-7-3-1-4-8-29)25-24(32(13-17-35)14-18-36)28-22(20)30-9-5-2-6-10-30/h33-36H,1-18H2

",504.6,6.4,1.5,-2.7,145.44,56.94,12,4,-5.298,-4.344,-1.826,4.344,1.826,3.085,1.259,0.77125,1.554805401,90.49246028
Disopiramide,https://pubchem.ncbi.nlm.nih.gov/compound/3114,4-[di(propan-2-yl)amino]-2-phenyl-2-pyridin-2-ylbutanamide,9/5/3737 0:00,C21H29N3O,21,29,3,1,0,0,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,"InChI=1S/C21H29N3O/c1-16(2)24(17(3)4)15-13-21(20(22)25,18-10-6-5-7-11-18)19-12-8-9-14-23-19/h5-12,14,16-17H,13,15H2,1-4H3,(H2,22,25)

",339.5,8.36,2.58,-3.8,59.22,38.82,3,1,-5.755,-4.824,-2.135,4.824,2.135,3.4795,1.3445,0.869875,1.309222759,92.11502027
Doxepine,http://www.hmdb.ca/metabolites/HMDB0015273,"dimethyl(3-{9-oxatricyclo[9.4.0.0³,⁸]pentadeca-1(15),3,5,7,11,13-hexaen-2-ylidene}propyl)amine
","1668-19-5

",C19H21NO,19,21,1,1,0,0,CN(C)CC/C=C/1\C2=CC=CC=C2COC3=CC=CC=C31,"InChI=1S/C19H21NO/c1-20(2)13-7-11-17-16-9-4-3-8-15(16)14-21-19-12-6-5-10-18(17)19/h3-6,8-12H,7,13-14H2,1-2H3/b17-11+

",279.4,8,4.3,-3.9,12.5,32.47,2,0,-5.979,-5.25,-2.06,5.25,2.06,3.655,1.595,0.91375,1.048589342,95.28611832
Doxycycline,https://pubchem.ncbi.nlm.nih.gov/compound/54671203,"(4S,4aR,5S,5aR,6R,12aR)-4-(dimethylamino)-1,5,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4a,5,5a,6-tetrahydro-4H-tetracene-2-carboxamide

",564-25-0,C22H24N2O8,22,24,2,8,0,0,CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,"InChI=1S/C22H24N2O8/c1-7-8-5-4-6-9(25)11(8)16(26)12-10(7)17(27)14-15(24(2)3)18(28)13(21(23)31)20(30)22(14,32)19(12)29/h4-7,10,14-15,17,25-27,30,32H,1-3H3,(H2,23,31)/t7-,10+,14+,15-,17-,22-/m0/s1

",444.4,3.09,-0.7,-2.8,182,43.65,9,6,-6.156,-5.693,-3.454,5.693,3.454,4.5735,1.1195,1.143375,1.083742742,95.9
Doxylamine,https://pubchem.ncbi.nlm.nih.gov/compound/3162,"N,N-dimethyl-2-(1-phenyl-1-pyridin-2-ylethoxy)ethanamine

",469-21-6,C17H22N2O,17,22,2,1,0,0,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C,"InChI=1S/C17H22N2O/c1-17(20-14-13-19(2)3,15-9-5-4-6-10-15)16-11-7-8-12-18-16/h4-12H,13-14H2,1-3H3",270.37,9.2,2.5,-2.7,25.4,31.09,3,0,-5.963,-5.266,-1.839,5.266,1.839,3.5525,1.7135,0.888125,1.005981908,95.17725902
Doxorubicina,https://pubchem.ncbi.nlm.nih.gov/compound/31703,"(7S,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione",23214-92-8,C27H29NO11,27,29,1,11,0,0,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,"InChI=1S/C27H29NO11/c1-10-22(31)13(28)6-17(38-10)39-15-8-27(36,16(30)9-29)7-12-19(15)26(35)21-20(24(12)33)23(32)11-4-3-5-14(37-2)18(11)25(21)34/h3-5,10,13,15,17,22,29,31,33,35-36H,6-9,28H2,1-2H3/t10-,13-,15-,17-,22+,27-/m0/s1",543.5,9.46,1.27,-2.7,206.07,53.87,12,6,-6.141,-5.859,-4.004,5.859,4.004,4.9315,0.9275,1.232875,1.11509434,90.17856346
Ephedrine,https://pubchem.ncbi.nlm.nih.gov/compound/9294,"(1R,2S)-2-(methylamino)-1-phenylpropan-1-ol",299-42-3,C10H15NO,10,15,1,1,0,0,CC(C(C1=CC=CC=C1)O)NC,"InChI=1S/C10H15NO/c1-8(11-2)10(12)9-6-4-3-5-7-9/h3-8,10-12H,1-2H3/t8-,10-/m0/s1

",165.23,9.6,1.13,-1.3,32.3,18.8,2,2,-6.359,-5.886,-1.35,5.886,1.35,3.618,2.268,0.9045,0.745590829,84
Emetine,https://pubchem.ncbi.nlm.nih.gov/compound/10219,"(2S,3R,11bS)-2-[[(1R)-6,7-dimethoxy-1,2,3,4-tetrahydroisoquinolin-1-yl]methyl]-3-ethyl-9,10-dimethoxy-2,3,4,6,7,11b-hexahydro-1H-benzo[a]quinolizine",483-18-1,C29H40N2O4,29,40,2,4,0,0,CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,"InChI=1S/C29H40N2O4/c1-6-18-17-31-10-8-20-14-27(33-3)29(35-5)16-23(20)25(31)12-21(18)11-24-22-15-28(34-4)26(32-2)13-19(22)7-9-30-24/h13-16,18,21,24-25,30H,6-12,17H2,1-5H3/t18-,21-,24+,25-/m0/s1

Computed by InChI 1.0.5 (PubChem release 2019.06.18)",480.6,9.11,4.7,-5.2,52.19,54.92,6,1,-5.118,-4.838,-1.303,4.838,1.303,3.0705,1.7675,0.767625,1.111598303,93.09
Epinefrina,https://pubchem.ncbi.nlm.nih.gov/compound/5816,"4 - [(1 R ) -1-hidroxi-2- (metilamino) etil] benceno-1,2-diol

",51-43-4,C 9 H 13 N O 3,8,13,1,3,0,0,CNCC(C1=CC(=C(C=C1)O)O)O,"InChI=1S/C9H13NO3/c1-10-5-9(13)6-2-3-7(11)8(12)4-6/h2-4,9-13H,5H2,1H3/t9-/m0/s1",183.2,8.59,-1.37,-0.99,72.7,19.04,4,4,-5.974,-5.488,-1.342,5.488,1.342,3.415,2.073,0.85375,0.864688857,92.02853718
Equilenin,https://pubchem.ncbi.nlm.nih.gov/compound/444865,"(13 S , 14 S ) -3-hidroxi-13-metil-12,14,15,16-tetrahidro-11 H -ciclopenta [a] fenantren-17-ona",0517-09-09,C 18 H 18 O 2,18,18,0,2,0,0,CC12CCC3 = C (C1CCC2 = O) C = CC4 = C3C = CC (= C4) O,"InChI = 1S / C18H18O2 / c1-18-9-8-14-13-5-3-12 (19) 10-11 (13) 2-4-15 (14) 16 (18) 6-7-17 ( 18) 20 / h2-5,10,16,19H, 6-9H2,1H3 / t16-, 18- / m0 / s1",266.3,9.8,3.5,-4.7,37.3,30.1,2,1,-5.876,-5.633,-2.502,5.633,2.502,4.0675,1.5655,1.016875,0.936601725,90.31575752
Ergometrine,https://www.drugbank.ca/drugs/DB01253,"(6aR,9R)-N-[(2S)-1-hydroxypropan-2-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",60-79-7,C19H23N3O2,19,23,3,2,0,0,CC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,"InChI=1S/C19H23N3O2/c1-11(10-23)21-19(24)13-6-15-14-4-3-5-16-18(14)12(8-20-16)7-17(15)22(2)9-13/h3-6,8,11,13,17,20,23H,7,9-10H2,1-2H3,(H,21,24)/t11-,13+,17+/m0/s1",325.4,7.3,0.9,-3,68.36,36.54,3,3,-5.796,-5.437,-2.32,5.437,2.32,3.8785,1.5585,0.969625,1.001443696,90.11993033
Ergotamine,https://pubchem.ncbi.nlm.nih.gov/compound/8223,"(6aR,9R)-N-[(1S,2S,4R,7S)-7-benzyl-2-hydroxy-4-methyl-5,8-dioxo-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",113-15-5,C33H35N5O5,33,35,5,5,0,0,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CNC8=CC=CC(=C78)C6=C5)C,"InChI=1S/C33H35N5O5/c1-32(35-29(39)21-15-23-22-10-6-11-24-28(22)20(17-34-24)16-25(23)36(2)18-21)31(41)38-26(14-19-8-4-3-5-9-19)30(40)37-13-7-12-27(37)33(38,42)43-32/h3-6,8-11,15,17,21,25-27,34,42H,7,12-14,16,18H2,1-2H3,(H,35,39)/t21-,25-,26+,27+,32-,33+/m1/s1",581.7,6.3,2,-3.4,118,62.23,6,3,-5.456,-5.212,-2.358,5.212,2.358,3.785,1.427,0.94625,1.126489138,92.48130692
Erythromycin,https://pubchem.ncbi.nlm.nih.gov/compound/12560,"(3R,4S,5S,6R,7R,9R,11R,12R,13S,14R)-6-[(2S,3R,4S,6R)-4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-14-ethyl-7,12,13-trihydroxy-4-[(2R,4R,5S,6S)-5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl]oxy-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione",0114-07-08,C37H67NO13,37,67,1,1,0,0,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,"InChI=1S/C37H67NO13/c1-14-25-37(10,45)30(41)20(4)27(39)18(2)16-35(8,44)32(51-34-28(40)24(38(11)12)15-19(3)47-34)21(5)29(22(6)33(43)49-25)50-26-17-36(9,46-13)31(42)23(7)48-26/h18-26,28-32,34,40-42,44-45H,14-17H2,1-13H3/t18-,19-,20+,21+,22-,23+,24+,25-,26+,28-,29+,30-,31+,32-,34+,35-,36-,37-/m1/s1",733.9,8.88,2.6,-3.2,193.91,78.21,14,5,-6.039,-5.336,-2.008,5.336,2.008,3.672,1.664,0.918,1,91.60328022
Scopolamine,https://hmdb.ca/metabolites/HMDB0003573,"(9-methyl-3-oxa-9-azatricyclo[3.3.1.02,4]nonan-7-yl) 3-hydroxy-2-phenylpropanoate",51-34-3,C17H21NO4,17,21,1,4,0,0,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4,"InChI=1S/C17H21NO4/c1-18-13-7-11(8-14(18)16-15(13)22-16)21-17(20)12(9-19)10-5-3-2-4-6-10/h2-6,11-16,19H,7-9H2,1H3",303.35,7.6,0.98,-1.7,62.3,31.41,5,1,-6.361,-5.181,-1.876,5.181,1.876,3.5285,1.6525,0.882125,1.050378215,86
Spectinomycin,https://pubchem.ncbi.nlm.nih.gov/compound/15541,"(1 R , 3 S , 5 R , 8 R , 10 R , 11 S , 12 S , 13 R , 14 S ) -8,12,14-trihidroxi-5-metil-11,13-bis (metilamino) - 2,4,9-trioxatriciclo [8.4.0.0 3,8 ] tetradecan-7-ona",1695-77-8,C 14 H 24 N 2 O 7,14,24,2,7,0,0,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4,"InChI = 1S / C14H24N2O7 / c1-5-4-6 (17) 14 (20) 13 (21-5) 22-12-10 (19) 7 (15-2) 9 (18) 8 (16-3) 11 (12) 23-14 / h5,7-13,15-16,18-20H, 4H2,1-3H3 / t5-, 7-, 8 +, 9 +, 10 +, 11-, 12-, 13 +, 14 + / m1 / s1",332.35,6.95,-2.3,-0.35,130,33.39,9,5,-6.328,-5.158,-1.917,5.158,1.917,3.5375,1.6205,0.884375,1.068343104,89.07761004
Ethinylestradiol,https://pubchem.ncbi.nlm.nih.gov/compound/5991,"(1S,10R,11S,14R,15S)-14-ethynyl-15-methyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-2(7),3,5-triene-5,14-diol",57-63-6,C20H24O2,20,24,0,2,0,0,"CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O

","InChI = 1S / C20H24O2 / c1-3-20 (22) 11-9-18-17-6-4-13-12-14 (21) 5-7-15 (13) 16 (17) 8-10- 19 (18,20) 2 / h1,5,7,12,16-18,21-22H, 4,6,8-11H2,2H3 / t16-, 17-, 18 +, 19 +, 20 + / m1 / s1",296.4,10.7,3.67,-4.3,40.5,34.53,2,2,-6.338,-5.573,-1.306,5.573,1.306,3.4395,2.1335,0.859875,0.834426998,85.61525586
Ethambutole,https://pubchem.ncbi.nlm.nih.gov/compound/3279,2- [2- (1-hidroxibutan-2-ilamino) etilamino] butan-1-ol,74-55-5,C 10 H 24 N 2 O 2,10,24,2,2,0,0,CCC(CO)NCCNC(CC)CO,"InChI=1S/C10H24N2O2/c1-3-9(7-13)11-5-6-12-10(4-2)8-14/h9-14H,3-8H2,1-2H3",204.31,9.55,-0.3,-1.4,64.5,24.47,4,4,-6.1,-5.922,5.882,5.922,-5.882,0.02,5.902,0.005,0.591324975,83.33242785
Ethanolamine,https://pubchem.ncbi.nlm.nih.gov/compound/700,2-aminoethanol,141-43-5,C2H7NO,2,7,1,1,0,0,C(CO)N,"InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2",61.08,9.5,-1.31,1.14,46.2,6.63,2,2,-6.624,-5.957,6.913,5.957,-6.913,-0.478,6.435,-0.1195,0.581041181,82.95769019
Ethylamine,https://pubchem.ncbi.nlm.nih.gov/compound/6341,ethanamine,75-04-7,C2H7N,2,7,1,0,0,0,CCN,"InChI=1S/C2H7N/c1-2-3/h2-3H2,1H3",45.08,10.7,-0.13,0.9,26,5.75,1,1,-7.998,-6.042,7.222,6.042,-7.222,-0.59,6.632,-0.1475,0.572225573,96.4
